時間戳記	lux1	lux2	led	dilution factor
2020/4/21 上午 9:23:15	1677.83	2039.81	48	1.5^5X
2020/4/21 上午 9:23:16	1676.84	2048.29	49	1.5^5X
2020/4/21 上午 9:23:17	1688.75	2091.01	50	1.5^5X
2020/4/21 上午 9:23:18	1728	2091.99	50	1.5^5X
2020/4/21 上午 9:23:19	1748.88	2131.25	51	1.5^5X
2020/4/21 上午 9:23:20	1775.74	2145.17	51	1.5^5X
2020/4/21 上午 9:23:21	1785.67	2175.48	51	1.5^5X
2020/4/21 上午 9:23:22	1781.21	2175.98	52	1.5^5X
2020/4/21 上午 9:23:24	1816.47	2218.73	52	1.5^5X
2020/4/21 上午 9:23:25	1820.96	2213.75	53	1.5^5X
2020/4/21 上午 9:23:25	1835.87	2240.56	53	1.5^5X
2020/4/21 上午 9:23:27	1851.28	2257	53	1.5^5X
2020/4/21 上午 9:23:28	1851.77	2262.43	54	1.5^5X
2020/4/21 上午 9:23:29	1886.04	2299.71	55	1.5^5X
2020/4/21 上午 9:23:30	1889.05	2302.18	55	1.5^5X
2020/4/21 上午 9:23:31	1923.85	2343.95	56	1.5^5X
2020/4/21 上午 9:23:32	1941.73	2357.87	56	1.5^5X
2020/4/21 上午 9:23:33	1956.64	2390.66	56	1.5^5X
2020/4/21 上午 9:23:34	1952.15	2384.19	57	1.5^5X
2020/4/21 上午 9:23:35	1976.53	2391.64	57	1.5^5X
2020/4/21 上午 9:23:36	1996.39	2427.44	58	1.5^5X
2020/4/21 上午 9:23:37	1997.38	2446.8	58	1.5^5X
2020/4/21 上午 9:23:38	2026.7	2473.16	58	1.5^5X
2020/4/21 上午 9:23:39	2026.21	2476.12	59	1.5^5X
2020/4/21 上午 9:23:40	2046.1	2505.45	60	1.5^5X
2020/4/21 上午 9:23:41	2065.46	2519.33	61	1.5^5X
2020/4/21 上午 9:23:42	2104.22	2565.05	61	1.5^5X
2020/4/21 上午 9:23:43	2135.07	2603.81	61	1.5^5X
2020/4/21 上午 9:23:44	2126.59	2596.4	62	1.5^5X
2020/4/21 上午 9:23:45	2131.08	2599.36	62	1.5^5X
2020/4/21 上午 9:23:46	2176.3	2678.36	63	1.5^5X
2020/4/21 上午 9:23:47	2201.63	2689.77	63	1.5^5X
2020/4/21 上午 9:23:48	2196.69	2682.36	64	1.5^5X
2020/4/21 上午 9:23:49	2224.53	2692.78	64	1.5^5X
2020/4/21 上午 9:23:50	2238.41	2728.04	65	1.5^5X
2020/4/21 上午 9:24:06	2472.49	2998.85	71	1.5^5X
2020/4/21 上午 9:24:06	2378.58	2903.95	68	1.5^5X
2020/4/21 上午 9:24:06	2481.47	3027.19	71	1.5^5X
2020/4/21 上午 9:24:06	2301.56	2810.54	67	1.5^5X
2020/4/21 上午 9:24:06	2419.85	2947.2	70	1.5^5X
2020/4/21 上午 9:24:06	2377.59	2896.99	69	1.5^5X
2020/4/21 上午 9:24:07	2492.38	3055.53	72	1.5^5X
2020/4/21 上午 9:24:08	2267.25	2738.5	65	1.5^5X
2020/4/21 上午 9:24:08	2333.85	2812.02	67	1.5^5X
2020/4/21 上午 9:24:08	2378.58	2903.46	68	1.5^5X
2020/4/21 上午 9:24:08	2411.37	2939.75	70	1.5^5X
2020/4/21 上午 9:24:08	2486.91	3031.68	72	1.5^5X
2020/4/21 上午 9:24:09	2452.14	2989.92	71	1.5^5X
2020/4/21 上午 9:24:09	2519.73	3075.38	73	1.5^5X
2020/4/21 上午 9:24:09	2346.78	2856.26	68	1.5^5X
2020/4/21 上午 9:24:09	2276.19	2781.21	66	1.5^5X
2020/4/21 上午 9:24:09	2306.5	2817.99	66	1.5^5X
2020/4/21 上午 9:24:09	2555.53	3116.66	73	1.5^5X
2020/4/21 上午 9:24:10	2375.08	2897.49	68	1.5^5X
2020/4/21 上午 9:24:11	2546.55	3107.22	73	1.5^5X
2020/4/21 上午 9:24:12	2551.53	3115.67	74	1.5^5X
2020/4/21 上午 9:24:13	2570.4	3131.57	74	1.5^5X
2020/4/21 上午 9:24:14	2593.26	3161.88	75	1.5^5X
2020/4/21 上午 9:24:15	2621.6	3204.1	76	1.5^5X
2020/4/21 上午 9:24:16	2623.08	3200.15	76	1.5^5X
2020/4/21 上午 9:24:17	2660.85	3244.84	76	1.5^5X
2020/4/21 上午 9:24:18	2655.9	3249.24	76	1.5^5X
2020/4/21 上午 9:24:19	2661.38	3247.35	77	1.5^5X
2020/4/21 上午 9:24:20	2696.64	3290.06	78	1.5^5X
2020/4/21 上午 9:24:21	2711.55	3286.11	78	1.5^5X
2020/4/21 上午 9:24:22	2726.46	3329.31	79	1.5^5X
2020/4/21 上午 9:24:23	2750.81	3332.82	79	1.5^5X
2020/4/21 上午 9:24:24	2767.73	3376.02	79	1.5^5X
2020/4/21 上午 9:24:25	2756.28	3369.06	79	1.5^5X
2020/4/21 上午 9:24:26	2763.24	3371.08	80	1.5^5X
2020/4/21 上午 9:24:27	2799.04	3419.27	81	1.5^5X
2020/4/21 上午 9:24:28	2811.97	3433.69	81	1.5^5X
2020/4/21 上午 9:24:29	2832.81	3461.49	81	1.5^5X
2020/4/21 上午 9:24:30	2831.82	3446.58	81	1.5^5X
2020/4/21 上午 9:24:31	2839.28	3459.51	82	1.5^5X
2020/4/21 上午 9:24:32	2853.69	3476.4	83	1.5^5X
2020/4/21 上午 9:24:33	2867.12	3511.7	83	1.5^5X
2020/4/21 上午 9:24:34	2908.89	3542.02	84	1.5^5X
2020/4/21 上午 9:24:35	2916.3	3574.31	84	1.5^5X
2020/4/21 上午 9:24:36	2938.67	3592.18	84	1.5^5X
2020/4/21 上午 9:24:37	2939.16	3586.75	85	1.5^5X
2020/4/21 上午 9:24:38	2950.12	3584.23	85	1.5^5X
2020/4/21 上午 9:24:39	2974.96	3628.47	86	1.5^5X
2020/4/21 上午 9:24:40	2988.88	3650.84	86	1.5^5X
2020/4/21 上午 9:24:41	3013.22	3674.69	86	1.5^5X
2020/4/21 上午 9:24:42	3006.75	3676.66	87	1.5^5X
2020/4/21 上午 9:24:43	3016.22	3679.13	88	1.5^5X
2020/4/21 上午 9:24:44	3055.97	3713.44	88	1.5^5X
2020/4/21 上午 9:24:45	3083.32	3762.13	89	1.5^5X
2020/4/21 上午 9:24:46	3103.67	3783.51	89	1.5^5X
2020/4/21 上午 9:24:47	3113.64	3801.38	89	1.5^5X
2020/4/21 上午 9:24:48	3114.13	3799.41	90	1.5^5X
2020/4/21 上午 9:24:49	3113.64	3802.91	90	1.5^5X
2020/4/21 上午 9:24:50	3152.89	3847.1	91	1.5^5X
2020/4/21 上午 9:24:51	3188.68	3891.34	91	1.5^5X
2020/4/21 上午 9:24:52	3189.67	3891.34	91	1.5^5X
2020/4/21 上午 9:24:53	3181.23	3889.36	92	1.5^5X
2020/4/21 上午 9:24:54	3181.72	3886.36	93	1.5^5X
2020/4/21 上午 9:24:55	3223.94	3934.59	93	1.5^5X
2020/4/21 上午 9:24:56	3256.77	3977.3	94	1.5^5X
2020/4/21 上午 9:24:57	3269.17	3995.18	94	1.5^5X
2020/4/21 上午 9:24:58	3290.54	4013.1	94	1.5^5X
2020/4/21 上午 9:24:59	3288.57	4012.06	95	1.5^5X
2020/4/21 上午 9:25:00	3288.57	4045.88	96	1.5^5X
2020/4/21 上午 9:25:01	3329.8	4064.25	96	1.5^5X
2020/4/21 上午 9:25:02	3365.1	4106.51	96	1.5^5X
2020/4/21 上午 9:25:03	3349.2	4102.02	96	1.5^5X
2020/4/21 上午 9:25:04	3367.57	4101.53	97	1.5^5X
2020/4/21 上午 9:25:06	3395.91	4144.78	98	1.5^5X
2020/4/21 上午 9:25:07	3398.42	4149.22	99	1.5^5X
2020/4/21 上午 9:25:08	3431.7	4190.5	99	1.5^5X
2020/4/21 上午 9:25:09	3461.02	4225.26	99	1.5^5X
2020/4/21 上午 9:25:10	3457.53	4214.84	99	1.5^5X
2020/4/21 上午 9:25:11	3469.47	4228.22	99	1.5^5X
2020/4/21 上午 9:25:12	3468.48	4234.69	100	1.5^5X
2020/4/21 上午 9:25:13	3484.38	4256.07	100	1.5^5X
2020/4/21 上午 9:25:14	3499.78	4270.49	101	1.5^5X
2020/4/21 上午 9:25:15	3522.64	4287.37	101	1.5^5X
2020/4/21 上午 9:25:16	3533.56	4321.15	102	1.5^5X
2020/4/21 上午 9:25:17	3565.89	4363.41	103	1.5^5X
2020/4/21 上午 9:25:18	3579.32	4358.92	103	1.5^5X
2020/4/21 上午 9:25:19	3610.13	4400.19	104	1.5^5X
2020/4/21 上午 9:25:20	3603.17	4403.65	104	1.5^5X
2020/4/21 上午 9:25:21	3639.45	4448.38	104	1.5^5X
2020/4/21 上午 9:25:22	3633.98	4436.97	104	1.5^5X
2020/4/21 上午 9:25:23	3639.45	4446.9	105	1.5^5X
2020/4/21 上午 9:25:24	3677.22	4488.13	106	1.5^5X
2020/4/21 上午 9:25:25	3678.71	4486.65	106	1.5^5X
2020/4/21 上午 9:25:26	3706.02	4530.39	107	1.5^5X
2020/4/21 上午 9:25:27	3705.52	4534.34	107	1.5^5X
2020/4/21 上午 9:25:28	3748.77	4576.6	107	1.5^5X
2020/4/21 上午 9:25:29	3747.78	4567.62	108	1.5^5X
2020/4/21 上午 9:25:30	3742.8	4569.15	108	1.5^5X
2020/4/21 上午 9:25:31	3778.59	4614.33	109	1.5^5X
2020/4/21 上午 9:25:32	3785.06	4621.29	109	1.5^5X
2020/4/21 上午 9:25:33	3813.4	4651.11	109	1.5^5X
2020/4/21 上午 9:25:34	3817.85	4656.1	110	1.5^5X
2020/4/21 上午 9:25:35	3819.33	4670.51	111	1.5^5X
2020/4/21 上午 9:25:36	3845.69	4705.77	111	1.5^5X
2020/4/21 上午 9:25:37	3889.43	4746.55	112	1.5^5X
2020/4/21 上午 9:25:38	3923.7	4788.27	112	1.5^5X
2020/4/21 上午 9:25:39	3923.7	4788.27	112	1.5^5X
2020/4/21 上午 9:25:40	3918.76	4789.76	113	1.5^5X
2020/4/21 上午 9:25:42	3955.54	4835.97	113	1.5^5X
2020/4/21 上午 9:25:43	3953.52	4831.52	114	1.5^5X
2020/4/21 上午 9:25:44	3986.84	4871.76	114	1.5^5X
2020/4/21 上午 9:25:45	3991.79	4876.71	114	1.5^5X
2020/4/21 上午 9:25:46	3993.8	4877.2	115	1.5^5X
2020/4/21 上午 9:25:47	4022.1	4918.47	116	1.5^5X
2020/4/21 上午 9:25:48	4023.13	4921.44	116	1.5^5X
2020/4/21 上午 9:25:49	4059.87	4957.23	117	1.5^5X
2020/4/21 上午 9:25:50	4057.89	4964.69	117	1.5^5X
2020/4/21 上午 9:25:51	4097.19	5006.91	117	1.5^5X
2020/4/21 上午 9:25:52	4099.66	5007.4	118	1.5^5X
2020/4/21 上午 9:25:53	4098.18	5021.32	118	1.5^5X
2020/4/21 上午 9:25:54	4128	5045.17	119	1.5^5X
2020/4/21 上午 9:25:55	4141.88	5060.08	119	1.5^5X
2020/4/21 上午 9:25:56	4165.27	5094.89	119	1.5^5X
2020/4/21 上午 9:25:57	4167.74	5094.35	120	1.5^5X
2020/4/21 上午 9:25:58	4169.23	5086.4	120	1.5^5X
2020/4/21 上午 9:25:59	4196.08	5130.14	121	1.5^5X
2020/4/21 上午 9:26:00	4196.08	5138.09	122	1.5^5X
2020/4/21 上午 9:26:01	4245.76	5180.35	122	1.5^5X
2020/4/21 上午 9:26:02	4273.11	5222.08	122	1.5^5X
2020/4/21 上午 9:26:03	4260.67	5214.62	122	1.5^5X
2020/4/21 上午 9:26:04	4270.1	5214.62	123	1.5^5X
2020/4/21 上午 9:26:05	4283.03	5223.56	123	1.5^5X
2020/4/21 上午 9:26:06	4302.93	5265.82	124	1.5^5X
2020/4/21 上午 9:26:07	4301.94	5257.87	124	1.5^5X
2020/4/21 上午 9:26:08	4345.15	5300.09	124	1.5^5X
2020/4/21 上午 9:26:09	4345.64	5309.03	124	1.5^5X
2020/4/21 上午 9:26:10	4330.27	5296.14	124	1.5^5X
2020/4/21 上午 9:26:11	4337.69	5302.07	125	1.5^5X
2020/4/21 上午 9:26:12	4376.49	5344.33	126	1.5^5X
2020/4/21 上午 9:26:13	4375.5	5352.28	126	1.5^5X
2020/4/21 上午 9:26:14	4412.24	5395.48	127	1.5^5X
2020/4/21 上午 9:26:15	4412.74	5395.48	127	1.5^5X
2020/4/21 上午 9:26:16	4442.56	5430.78	127	1.5^5X
2020/4/21 上午 9:26:17	4441.08	5426.79	127	1.5^5X
2020/4/21 上午 9:26:18	4451	5438.24	128	1.5^5X
2020/4/21 上午 9:26:19	4450.01	5440.21	128	1.5^5X
2020/4/21 上午 9:26:20	4478.85	5475.02	129	1.5^5X
2020/4/21 上午 9:26:21	4479.34	5473	129	1.5^5X
2020/4/21 上午 9:26:22	4515.13	5524.2	130	1.5^5X
2020/4/21 上午 9:26:24	4551.42	5566.46	130	1.5^5X
2020/4/21 上午 9:26:25	4551.91	5558.96	130	1.5^5X
2020/4/21 上午 9:26:26	4545.94	5557.48	131	1.5^5X
2020/4/21 上午 9:26:27	4546.44	5565.92	131	1.5^5X
2020/4/21 上午 9:26:28	4589.19	5608.68	132	1.5^5X
2020/4/21 上午 9:26:29	4624.98	5644.97	132	1.5^5X
2020/4/21 上午 9:26:30	4611.06	5644.47	132	1.5^5X
2020/4/21 上午 9:26:31	4616.01	5651.39	133	1.5^5X
2020/4/21 上午 9:26:32	4617.03	5653.9	134	1.5^5X
2020/4/21 上午 9:26:33	4656.78	5688.75	134	1.5^5X
2020/4/21 上午 9:26:34	4690.56	5730.43	135	1.5^5X
2020/4/21 上午 9:26:35	4690.56	5731.42	135	1.5^5X
2020/4/21 上午 9:26:36	4726.35	5781.59	135	1.5^5X
2020/4/21 上午 9:26:37	4722.39	5773.15	136	1.5^5X
2020/4/21 上午 9:26:38	4720.87	5774.63	136	1.5^5X
2020/4/21 上午 9:26:39	4765.11	5816.89	137	1.5^5X
2020/4/21 上午 9:26:40	4765.6	5825.83	137	1.5^5X
2020/4/21 上午 9:26:41	4790.97	5868.58	137	1.5^5X
2020/4/21 上午 9:26:42	4792.46	5860.14	137	1.5^5X
2020/4/21 上午 9:26:43	4795.42	5857.63	138	1.5^5X
2020/4/21 上午 9:26:44	4793.94	5867.59	139	1.5^5X
2020/4/21 上午 9:26:45	4828.25	5908.33	139	1.5^5X
2020/4/21 上午 9:26:46	4864.5	5950.05	140	1.5^5X
2020/4/21 上午 9:26:47	4860.05	5943.09	140	1.5^5X
2020/4/21 上午 9:26:48	4894.36	5985.85	140	1.5^5X
2020/4/21 上午 9:26:49	4901.81	5995.28	140	1.5^5X
2020/4/21 上午 9:26:50	4902.31	5994.79	141	1.5^5X
2020/4/21 上午 9:26:51	4931.59	6030.04	142	1.5^5X
2020/4/21 上午 9:26:53	4968.87	6079.76	142	1.5^5X
2020/4/21 上午 9:26:54	4968.87	6082.23	142	1.5^5X
2020/4/21 上午 9:26:55	4969.86	6081.24	143	1.5^5X
2020/4/21 上午 9:26:56	4970.89	6073.79	143	1.5^5X
2020/4/21 上午 9:26:57	5006.64	6116.54	144	1.5^5X
2020/4/21 上午 9:26:58	5000.21	6124.49	144	1.5^5X
2020/4/21 上午 9:26:59	5033.49	6167.7	145	1.5^5X
2020/4/21 上午 9:27:00	5042.93	6159.75	145	1.5^5X
2020/4/21 上午 9:27:01	5077.24	6202.01	145	1.5^5X
2020/4/21 上午 9:27:02	5068.3	6208.97	145	1.5^5X
2020/4/21 上午 9:27:03	5068.79	6211.44	146	1.5^5X
2020/4/21 上午 9:27:04	5076.25	6202.5	146	1.5^5X
2020/4/21 上午 9:27:05	5110.52	6244.72	147	1.5^5X
2020/4/21 上午 9:27:06	5105.04	6241.75	147	1.5^5X
2020/4/21 上午 9:27:07	5139.85	6294.93	147	1.5^5X
2020/4/21 上午 9:27:08	5142.85	6293.45	147	1.5^5X
2020/4/21 上午 9:27:09	5142.32	6287.47	148	1.5^5X
2020/4/21 上午 9:27:10	5141.82	6287.47	148	1.5^5X
2020/4/21 上午 9:27:11	5176.63	6338.63	149	1.5^5X
2020/4/21 上午 9:27:12	5176.63	6340.61	150	1.5^5X
2020/4/21 上午 9:27:13	5210.94	6374.42	150	1.5^5X
2020/4/21 上午 9:27:14	5249.69	6418.66	150	1.5^5X
2020/4/21 上午 9:27:15	5250.19	6422.62	150	1.5^5X
2020/4/21 上午 9:29:19	5244.22	6422.62	150	1.5^6X
2020/4/21 上午 9:29:20	5486.14	8588.3	150	1.5^6X
2020/4/21 上午 9:29:21	5454.35	8543.62	0	1.5^6X
2020/4/21 上午 9:29:22	1683.11	2202.48	0	1.5^6X
2020/4/21 上午 9:29:23	0	0	0	1.5^6X
2020/4/21 上午 9:29:24	0	0	0	1.5^6X
2020/4/21 上午 9:29:25	0	0	0	1.5^6X
2020/4/21 上午 9:29:26	0	0	0	1.5^6X
2020/4/21 上午 9:29:27	0	0	0	1.5^6X
2020/4/21 上午 9:29:28	0	0	1	1.5^6X
2020/4/21 上午 9:29:29	33.77	52.14	1	1.5^6X
2020/4/21 上午 9:29:30	33.77	52.14	1	1.5^6X
2020/4/21 上午 9:29:31	33.77	52.14	2	1.5^6X
2020/4/21 上午 9:29:32	68.58	107.79	2	1.5^6X
2020/4/21 上午 9:29:33	69.07	107.79	2	1.5^6X
2020/4/21 上午 9:29:34	69.57	107.79	2	1.5^6X
2020/4/21 上午 9:29:35	69.57	107.79	3	1.5^6X
2020/4/21 上午 9:29:36	88.43	142.54	3	1.5^6X
2020/4/21 上午 9:29:37	105.36	164.42	3	1.5^6X
2020/4/21 上午 9:29:38	106.84	165.9	3	1.5^6X
2020/4/21 上午 9:29:39	106.84	165.9	4	1.5^6X
2020/4/21 上午 9:29:40	128.72	190.74	4	1.5^6X
2020/4/21 上午 9:29:41	143.63	224.51	5	1.5^6X
2020/4/21 上午 9:29:42	156.52	225	5	1.5^6X
2020/4/21 上午 9:29:43	181.89	282.13	5	1.5^6X
2020/4/21 上午 9:29:44	181.89	282.62	6	1.5^6X
2020/4/21 上午 9:29:45	219.13	340.24	6	1.5^6X
2020/4/21 上午 9:29:46	219.62	341.23	7	1.5^6X
2020/4/21 上午 9:29:47	252.94	397.37	7	1.5^6X
2020/4/21 上午 9:29:48	238.53	377.03	7	1.5^6X
2020/4/21 上午 9:29:49	244	373.03	8	1.5^6X
2020/4/21 上午 9:29:50	267.36	389.42	8	1.5^6X
2020/4/21 上午 9:29:51	289.72	450	8	1.5^6X
2020/4/21 上午 9:29:52	290.71	450.5	9	1.5^6X
2020/4/21 上午 9:29:53	322.02	495.73	9	1.5^6X
2020/4/21 上午 9:29:54	326.96	506.14	9	1.5^6X
2020/4/21 上午 9:29:55	326.96	507.62	10	1.5^6X
2020/4/21 上午 9:29:56	342.9	564.26	10	1.5^6X
2020/4/21 上午 9:29:57	364.24	564.26	10	1.5^6X
2020/4/21 上午 9:29:58	364.24	563.76	11	1.5^6X
2020/4/21 上午 9:29:59	363.74	562.28	11	1.5^6X
2020/4/21 上午 9:30:00	401.02	619.9	12	1.5^6X
2020/4/21 上午 9:30:01	403.49	646.22	12	1.5^6X
2020/4/21 上午 9:30:02	436.32	677.03	12	1.5^6X
2020/4/21 上午 9:30:03	437.3	676.54	13	1.5^6X
2020/4/21 上午 9:30:04	473.59	731.64	14	1.5^6X
2020/4/21 上午 9:30:05	506.87	787.78	15	1.5^6X
2020/4/21 上午 9:30:06	509.34	789.75	15	1.5^6X
2020/4/21 上午 9:30:07	547.12	846.88	15	1.5^6X
2020/4/21 上午 9:30:08	547.12	843.92	16	1.5^6X
2020/4/21 上午 9:30:09	581.92	900.06	17	1.5^6X
2020/4/21 上午 9:30:10	611.74	936.79	17	1.5^6X
2020/4/21 上午 9:30:11	618.17	955.7	18	1.5^6X
2020/4/21 上午 9:30:13	619.2	994.41	19	1.5^6X
2020/4/21 上午 9:30:14	666.89	1012.29	19	1.5^6X
2020/4/21 上午 9:30:15	692.72	1068.92	20	1.5^6X
2020/4/21 上午 9:30:16	726	1124.57	20	1.5^6X
2020/4/21 上午 9:30:17	730.49	1127.53	21	1.5^6X
2020/4/21 上午 9:30:18	765.29	1183.67	21	1.5^6X
2020/4/21 上午 9:30:19	800.06	1196.11	22	1.5^6X
2020/4/21 上午 9:30:20	799.56	1238.33	22	1.5^6X
2020/4/21 上午 9:30:21	799.56	1239.31	23	1.5^6X
2020/4/21 上午 9:30:22	837.83	1295.45	23	1.5^6X
2020/4/21 上午 9:30:23	837.83	1299.9	24	1.5^6X
2020/4/21 上午 9:30:24	872.1	1348.58	25	1.5^6X
2020/4/21 上午 9:30:25	894.46	1407.19	25	1.5^6X
2020/4/21 上午 9:30:26	911.35	1408.67	25	1.5^6X
2020/4/21 上午 9:30:27	910.86	1408.67	25	1.5^6X
2020/4/21 上午 9:30:28	908.38	1404.72	26	1.5^6X
2020/4/21 上午 9:30:29	944.67	1461.35	26	1.5^6X
2020/4/21 上午 9:30:30	979.44	1481.2	27	1.5^6X
2020/4/21 上午 9:30:31	983.43	1521.44	27	1.5^6X
2020/4/21 上午 9:30:32	1011.77	1524.4	28	1.5^6X
2020/4/21 上午 9:30:33	1018.73	1574.57	28	1.5^6X
2020/4/21 上午 9:30:34	1017.7	1574.08	28	1.5^6X
2020/4/21 上午 9:30:35	1018.19	1578.08	29	1.5^6X
2020/4/21 上午 9:30:36	1057.45	1634.22	29	1.5^6X
2020/4/21 上午 9:30:37	1057.45	1634.22	30	1.5^6X
2020/4/21 上午 9:30:38	1090.77	1686.85	30	1.5^6X
2020/4/21 上午 9:30:39	1090.77	1690.8	30	1.5^6X
2020/4/21 上午 9:30:40	1093.74	1690.8	31	1.5^6X
2020/4/21 上午 9:30:41	1130.02	1747.43	31	1.5^6X
2020/4/21 上午 9:30:42	1127.55	1745.95	32	1.5^6X
2020/4/21 上午 9:30:43	1158.36	1799.62	32	1.5^6X
2020/4/21 上午 9:30:44	1181.22	1804.06	33	1.5^6X
2020/4/21 上午 9:30:45	1203.09	1860.7	33	1.5^6X
2020/4/21 上午 9:30:46	1203.05	1856.75	33	1.5^6X
2020/4/21 上午 9:30:47	1202.06	1860.7	34	1.5^6X
2020/4/21 上午 9:30:48	1215.99	1886.52	34	1.5^6X
2020/4/21 上午 9:30:49	1236.87	1914.32	35	1.5^6X
2020/4/21 上午 9:30:50	1252.27	1943.65	35	1.5^6X
2020/4/21 上午 9:30:51	1276.62	1973.47	35	1.5^6X
2020/4/21 上午 9:30:52	1277.11	1968.48	35	1.5^6X
2020/4/21 上午 9:30:53	1273.16	1968.48	36	1.5^6X
2020/4/21 上午 9:30:54	1293.01	2024.62	36	1.5^6X
2020/4/21 上午 9:30:55	1313.4	2030.05	37	1.5^6X
2020/4/21 上午 9:30:56	1334.28	2086.69	37	1.5^6X
2020/4/21 上午 9:30:57	1351.66	2086.69	38	1.5^6X
2020/4/21 上午 9:30:58	1384.94	2141.84	38	1.5^6X
2020/4/21 上午 9:30:59	1381.48	2139.87	38	1.5^6X
2020/4/21 上午 9:31:00	1382.47	2140.85	39	1.5^6X
2020/4/21 上午 9:31:01	1422.71	2165.2	39	1.5^6X
2020/4/21 上午 9:31:02	1423.21	2199.95	39	1.5^6X
2020/4/21 上午 9:31:03	1443.1	2194.47	40	1.5^6X
2020/4/21 上午 9:31:04	1455.99	2250.61	40	1.5^6X
2020/4/21 上午 9:31:05	1459.5	2250.61	40	1.5^6X
2020/4/21 上午 9:31:06	1459	2256.59	41	1.5^6X
2020/4/21 上午 9:31:07	1494.26	2312.73	41	1.5^6X
2020/4/21 上午 9:31:08	1495.25	2312.73	42	1.5^6X
2020/4/21 上午 9:31:09	1529.06	2368.32	42	1.5^6X
2020/4/21 上午 9:31:10	1537.51	2368.32	43	1.5^6X
2020/4/21 上午 9:31:11	1565.85	2426.93	43	1.5^6X
2020/4/21 上午 9:31:12	1566.34	2420.02	43	1.5^6X
2020/4/21 上午 9:31:13	1569.8	2426.93	44	1.5^6X
2020/4/21 上午 9:31:14	1591.67	2483.07	44	1.5^6X
2020/4/21 上午 9:31:15	1602.59	2477.64	44	1.5^6X
2020/4/21 上午 9:31:16	1614.53	2510.92	45	1.5^6X
2020/4/21 上午 9:31:17	1640.36	2539.7	45	1.5^6X
2020/4/21 上午 9:31:18	1638.38	2532.74	45	1.5^6X
2020/4/21 上午 9:31:19	1642.87	2533.73	46	1.5^6X
2020/4/21 上午 9:31:20	1675.16	2592.83	46	1.5^6X
2020/4/21 上午 9:31:21	1675.16	2595.84	47	1.5^6X
2020/4/21 上午 9:31:22	1703.99	2626.16	47	1.5^6X
2020/4/21 上午 9:31:23	1716.39	2646.01	48	1.5^6X
2020/4/21 上午 9:31:24	1747.2	2686.25	48	1.5^6X
2020/4/21 上午 9:31:25	1748.19	2706.1	48	1.5^6X
2020/4/21 上午 9:31:26	1748.68	2700.67	49	1.5^6X
2020/4/21 上午 9:31:27	1786.95	2765.2	49	1.5^6X
2020/4/21 上午 9:31:28	1786.99	2758.29	49	1.5^6X
2020/4/21 上午 9:31:29	1788.47	2773.64	50	1.5^6X
2020/4/21 上午 9:31:30	1821.26	2821.83	50	1.5^6X
2020/4/21 上午 9:31:31	1823.24	2834.77	51	1.5^6X
2020/4/21 上午 9:31:32	1862.49	2871.5	52	1.5^6X
2020/4/21 上午 9:31:33	1875.42	2897.82	52	1.5^6X
2020/4/21 上午 9:31:34	1899.27	2935.59	53	1.5^6X
2020/4/21 上午 9:31:35	1913.69	2964.87	53	1.5^6X
2020/4/21 上午 9:31:36	1931.56	2983.78	53	1.5^6X
2020/4/21 上午 9:31:37	1935.56	2984.77	54	1.5^6X
2020/4/21 上午 9:31:38	1939.51	3036.91	54	1.5^6X
2020/4/21 上午 9:31:39	1969.33	3048.86	55	1.5^6X
2020/4/21 上午 9:31:40	1981.28	3101.49	55	1.5^6X
2020/4/21 上午 9:31:41	2003.64	3096.51	56	1.5^6X
2020/4/21 上午 9:31:42	2040.39	3155.66	56	1.5^6X
2020/4/21 上午 9:31:43	2045.37	3162.08	56	1.5^6X
2020/4/21 上午 9:31:45	2040.92	3152.15	56	1.5^6X
2020/4/21 上午 9:31:45	2042.4	3153.63	57	1.5^6X
2020/4/21 上午 9:31:46	2076.67	3209.77	57	1.5^6X
2020/4/21 上午 9:31:47	2086.6	3224.68	58	1.5^6X
2020/4/21 上午 9:31:48	2118.44	3274.85	58	1.5^6X
2020/4/21 上午 9:31:49	2109.01	3264.93	58	1.5^6X
2020/4/21 上午 9:31:50	2114.94	3270.35	59	1.5^6X
2020/4/21 上午 9:31:51	2152.21	3323.53	60	1.5^6X
2020/4/21 上午 9:31:53	2160.66	3335.92	60	1.5^6X
2020/4/21 上午 9:31:54	2190.48	3387.62	61	1.5^6X
2020/4/21 上午 9:31:55	2206.38	3394.53	61	1.5^6X
2020/4/21 上午 9:31:56	2222.77	3442.23	61	1.5^6X
2020/4/21 上午 9:31:56	2222.77	3440.26	62	1.5^6X
2020/4/21 上午 9:31:57	2255.6	3454.67	62	1.5^6X
2020/4/21 上午 9:31:59	2264.54	3510.81	63	1.5^6X
2020/4/21 上午 9:31:59	2301.28	3557.47	63	1.5^6X
2020/4/21 上午 9:32:01	2290.36	3546.56	63	1.5^6X
2020/4/21 上午 9:32:02	2294.85	3549.52	64	1.5^6X
2020/4/21 上午 9:32:03	2335.59	3608.62	65	1.5^6X
2020/4/21 上午 9:32:04	2334.6	3612.62	65	1.5^6X
2020/4/21 上午 9:32:05	2371.38	3668.27	66	1.5^6X
2020/4/21 上午 9:32:06	2373.36	3659.83	66	1.5^6X
2020/4/21 上午 9:32:07	2404.66	3717.4	66	1.5^6X
2020/4/21 上午 9:32:08	2402.19	3709.01	66	1.5^6X
2020/4/21 上午 9:32:09	2410.63	3725.84	66	1.5^6X
